发送时间：2019-01-15 23:08:36 	 服务器地址：http://192.168.19.17:8000/assets/report 	 返回结果：发送失败 
发送时间：2019-01-15 23:10:46 	 服务器地址：http://192.168.19.17:8000/assets/report 	 返回结果：发送失败 
发送时间：2019-01-15 23:13:00 	 服务器地址：http://192.168.19.17:8000/assets/report 	 返回结果：发送失败 
发送时间：2019-01-16 10:46:21 	 服务器地址：http://192.168.19.17:8000/assets/report 	 返回结果：发送失败 
发送时间：2019-01-16 10:50:20 	 服务器地址：http://192.168.19.17:8000/assets/report 	 返回结果：发送失败 
发送时间：2019-01-16 10:55:49 	 服务器地址：http://192.168.19.17:8000/assets/report 	 返回结果：发送失败 
发送时间：2019-01-16 10:58:54 	 服务器地址：http://192.168.19.17:8000/assets/report/ 	 返回结果：successful！ 
发送时间：2019-01-16 10:59:50 	 服务器地址：http://192.168.19.17:8000/assets/report/ 	 返回结果：successful！ 
发送时间：2019-01-16 11:02:51 	 服务器地址：http://192.168.19.17:8000/assets/report/ 	 返回结果：successful！ 
发送时间：2019-01-16 11:07:49 	 服务器地址：http://192.168.19.17:8000/assets/report/ 	 返回结果：successful！ 
发送时间：2019-01-16 22:04:14 	 服务器地址：http://192.168.19.17:8000/assets/report/ 	 返回结果：successful！ 
发送时间：2019-01-16 22:12:00 	 服务器地址：http://192.168.19.17:8000/assets/report/ 	 返回结果：successful！ 
发送时间：2019-01-17 14:08:59 	 服务器地址：http://192.168.19.17:8000/assets/report/ 	 返回结果：successful！ 
发送时间：2019-01-17 14:24:13 	 服务器地址：http://192.168.19.17:8000/assets/report/ 	 返回结果：successful！ 
发送时间：2019-01-17 16:21:39 	 服务器地址：http://192.168.19.17:8000/assets/report/ 	 返回结果：资产已经加入或更新待审批区！ 
发送时间：2019-01-17 16:51:56 	 服务器地址：http://192.168.19.17:8000/assets/report/ 	 返回结果：资产已经加入或更新待审批区！ 
发送时间：2019-01-17 16:53:21 	 服务器地址：http://192.168.19.17:8000/assets/report/ 	 返回结果：资产已经加入或更新待审批区！ 
发送时间：2019-01-17 16:56:12 	 服务器地址：http://192.168.19.17:8000/assets/report/ 	 返回结果：资产已经加入或更新待审批区！ 
